# log_a a N_sq rho_coh_frac w_coh
-4.771171e+01 1.901371e-21 1.156328e+01 1.000000e+00 -9.745064e-01
-4.764965e+01 2.023113e-21 1.161815e+01 1.000000e+00 -9.746426e-01
-4.758759e+01 2.152649e-21 1.167298e+01 1.000000e+00 -9.747774e-01
-4.752553e+01 2.290480e-21 1.172778e+01 1.000000e+00 -9.749108e-01
-4.746346e+01 2.437136e-21 1.178255e+01 1.000000e+00 -9.750429e-01
-4.740140e+01 2.593182e-21 1.183728e+01 1.000000e+00 -9.751737e-01
-4.733934e+01 2.759219e-21 1.189198e+01 1.000000e+00 -9.753032e-01
-4.727728e+01 2.935887e-21 1.194664e+01 1.000000e+00 -9.754315e-01
-4.721522e+01 3.123867e-21 1.200127e+01 1.000000e+00 -9.755585e-01
-4.715315e+01 3.323883e-21 1.205587e+01 1.000000e+00 -9.756843e-01
-4.709109e+01 3.536706e-21 1.211043e+01 1.000000e+00 -9.758089e-01
-4.702903e+01 3.763156e-21 1.216496e+01 1.000000e+00 -9.759322e-01
-4.696697e+01 4.004105e-21 1.221946e+01 1.000000e+00 -9.760544e-01
-4.690490e+01 4.260481e-21 1.227392e+01 1.000000e+00 -9.761755e-01
-4.684284e+01 4.533273e-21 1.232835e+01 1.000000e+00 -9.762954e-01
-4.678078e+01 4.823531e-21 1.238274e+01 1.000000e+00 -9.764141e-01
-4.671872e+01 5.132374e-21 1.243710e+01 1.000000e+00 -9.765318e-01
-4.665666e+01 5.460991e-21 1.249143e+01 1.000000e+00 -9.766484e-01
-4.659459e+01 5.810650e-21 1.254572e+01 1.000000e+00 -9.767638e-01
-4.653253e+01 6.182696e-21 1.259998e+01 1.000000e+00 -9.768783e-01
-4.647047e+01 6.578564e-21 1.265421e+01 1.000000e+00 -9.769916e-01
-4.640841e+01 6.999779e-21 1.270840e+01 1.000000e+00 -9.771040e-01
-4.634635e+01 7.447963e-21 1.276256e+01 1.000000e+00 -9.772153e-01
-4.628428e+01 7.924844e-21 1.281668e+01 1.000000e+00 -9.773256e-01
-4.622222e+01 8.432259e-21 1.287077e+01 1.000000e+00 -9.774349e-01
-4.616016e+01 8.972163e-21 1.292483e+01 1.000000e+00 -9.775432e-01
-4.609810e+01 9.546636e-21 1.297885e+01 1.000000e+00 -9.776505e-01
-4.603604e+01 1.015789e-20 1.303284e+01 1.000000e+00 -9.777569e-01
-4.597397e+01 1.080829e-20 1.308680e+01 1.000000e+00 -9.778624e-01
-4.591191e+01 1.150032e-20 1.314072e+01 1.000000e+00 -9.779669e-01
-4.584985e+01 1.223667e-20 1.319461e+01 1.000000e+00 -9.780705e-01
-4.578779e+01 1.302016e-20 1.324847e+01 1.000000e+00 -9.781732e-01
-4.572573e+01 1.385382e-20 1.330229e+01 1.000000e+00 -9.782750e-01
-4.566366e+01 1.474086e-20 1.335608e+01 1.000000e+00 -9.783759e-01
-4.560160e+01 1.568469e-20 1.340984e+01 1.000000e+00 -9.784760e-01
-4.553954e+01 1.668896e-20 1.346356e+01 1.000000e+00 -9.785751e-01
-4.547748e+01 1.775753e-20 1.351725e+01 1.000000e+00 -9.786735e-01
-4.541542e+01 1.889451e-20 1.357091e+01 1.000000e+00 -9.787710e-01
-4.535335e+01 2.010430e-20 1.362453e+01 1.000000e+00 -9.788677e-01
-4.529129e+01 2.139154e-20 1.367812e+01 1.000000e+00 -9.789635e-01
-4.522923e+01 2.276121e-20 1.373168e+01 1.000000e+00 -9.790586e-01
-4.516717e+01 2.421857e-20 1.378520e+01 1.000000e+00 -9.791528e-01
-4.510511e+01 2.576925e-20 1.383869e+01 1.000000e+00 -9.792463e-01
-4.504304e+01 2.741921e-20 1.389215e+01 1.000000e+00 -9.793390e-01
-4.498098e+01 2.917482e-20 1.394557e+01 1.000000e+00 -9.794309e-01
-4.491892e+01 3.104284e-20 1.399896e+01 1.000000e+00 -9.795220e-01
-4.485686e+01 3.303046e-20 1.405232e+01 1.000000e+00 -9.796125e-01
-4.479479e+01 3.514534e-20 1.410564e+01 1.000000e+00 -9.797021e-01
-4.473273e+01 3.739564e-20 1.415893e+01 1.000000e+00 -9.797911e-01
-4.467067e+01 3.979003e-20 1.421219e+01 1.000000e+00 -9.798793e-01
-4.460861e+01 4.233772e-20 1.426542e+01 1.000000e+00 -9.799668e-01
-4.454655e+01 4.504853e-20 1.431861e+01 1.000000e+00 -9.800536e-01
-4.448448e+01 4.793292e-20 1.437177e+01 1.000000e+00 -9.801397e-01
-4.442242e+01 5.100198e-20 1.442490e+01 1.000000e+00 -9.802251e-01
-4.436036e+01 5.426756e-20 1.447799e+01 1.000000e+00 -9.803099e-01
-4.429830e+01 5.774222e-20 1.453105e+01 1.000000e+00 -9.803939e-01
-4.423624e+01 6.143936e-20 1.458408e+01 1.000000e+00 -9.804774e-01
-4.417417e+01 6.537323e-20 1.463707e+01 1.000000e+00 -9.805601e-01
-4.411211e+01 6.955897e-20 1.469003e+01 1.000000e+00 -9.806422e-01
-4.405005e+01 7.401272e-20 1.474296e+01 1.000000e+00 -9.807237e-01
-4.398799e+01 7.875163e-20 1.479586e+01 1.000000e+00 -9.808045e-01
-4.392593e+01 8.379397e-20 1.484872e+01 1.000000e+00 -9.808847e-01
-4.386386e+01 8.915916e-20 1.490155e+01 1.000000e+00 -9.809643e-01
-4.380180e+01 9.486788e-20 1.495435e+01 1.000000e+00 -9.810433e-01
-4.373974e+01 1.009421e-19 1.500711e+01 1.000000e+00 -9.811216e-01
-4.367768e+01 1.074053e-19 1.505984e+01 1.000000e+00 -9.811994e-01
-4.361562e+01 1.142823e-19 1.511254e+01 1.000000e+00 -9.812766e-01
-4.355355e+01 1.215996e-19 1.516521e+01 1.000000e+00 -9.813532e-01
-4.349149e+01 1.293854e-19 1.521784e+01 1.000000e+00 -9.814292e-01
-4.342943e+01 1.376697e-19 1.527044e+01 1.000000e+00 -9.815047e-01
-4.336737e+01 1.464845e-19 1.532301e+01 1.000000e+00 -9.815796e-01
-4.330531e+01 1.558637e-19 1.537555e+01 1.000000e+00 -9.816539e-01
-4.324324e+01 1.658434e-19 1.542805e+01 1.000000e+00 -9.817277e-01
-4.318118e+01 1.764620e-19 1.548052e+01 1.000000e+00 -9.818009e-01
-4.311912e+01 1.877606e-19 1.553296e+01 1.000000e+00 -9.818736e-01
-4.305706e+01 1.997826e-19 1.558537e+01 1.000000e+00 -9.819457e-01
-4.299499e+01 2.125744e-19 1.563774e+01 1.000000e+00 -9.820174e-01
-4.293293e+01 2.261852e-19 1.569008e+01 1.000000e+00 -9.820885e-01
-4.287087e+01 2.406674e-19 1.574239e+01 1.000000e+00 -9.821591e-01
-4.280881e+01 2.560770e-19 1.579467e+01 1.000000e+00 -9.822292e-01
-4.274675e+01 2.724732e-19 1.584691e+01 1.000000e+00 -9.822987e-01
-4.268468e+01 2.899192e-19 1.589912e+01 1.000000e+00 -9.823678e-01
-4.262262e+01 3.084823e-19 1.595130e+01 1.000000e+00 -9.824364e-01
-4.256056e+01 3.282339e-19 1.600344e+01 1.000000e+00 -9.825045e-01
