# x unit_response displaced_response_per_kappa heated_response_per_kappa contrast_response_per_kappa
5.605468750e+01 -4.631467546e-02 -9.262935091e+01 -7.916402690e+01 -1.346532401e+01
5.625000000e+01 -4.638598758e-02 -9.277197517e+01 -7.928591819e+01 -1.348605698e+01
5.644531250e+01 -4.645591890e-02 -9.291183780e+01 -7.940544929e+01 -1.350638850e+01
5.664062500e+01 -4.652449912e-02 -9.304899825e+01 -7.952267103e+01 -1.352632722e+01
5.683593750e+01 -4.659175139e-02 -9.318350278e+01 -7.963762294e+01 -1.354587984e+01
5.703125000e+01 -4.665770437e-02 -9.331540873e+01 -7.975035401e+01 -1.356505472e+01
5.722656250e+01 -4.672238022e-02 -9.344476044e+01 -7.986090215e+01 -1.358385829e+01
5.742187500e+01 -4.678580660e-02 -9.357161320e+01 -7.996931460e+01 -1.360229860e+01
5.761718750e+01 -4.684800474e-02 -9.369600948e+01 -8.007562767e+01 -1.362038181e+01
5.781250000e+01 -4.690900131e-02 -9.381800262e+01 -8.017988694e+01 -1.363811568e+01
5.800781250e+01 -4.696881666e-02 -9.393763332e+01 -8.028212719e+01 -1.365550613e+01
5.820312500e+01 -4.702747651e-02 -9.405495301e+01 -8.038239238e+01 -1.367256064e+01
5.839843750e+01 -4.708500035e-02 -9.417000070e+01 -8.048071583e+01 -1.368928486e+01
5.859375000e+01 -4.714141299e-02 -9.428282598e+01 -8.057713995e+01 -1.370568603e+01
5.878906250e+01 -4.719673311e-02 -9.439346622e+01 -8.067169666e+01 -1.372176955e+01
5.898437500e+01 -4.725098463e-02 -9.450196927e+01 -8.076442687e+01 -1.373754240e+01
5.917968750e+01 -4.730418545e-02 -9.460837091e+01 -8.085536114e+01 -1.375300977e+01
5.937500000e+01 -4.735635865e-02 -9.471271731e+01 -8.094453893e+01 -1.376817838e+01
5.957031250e+01 -4.740752137e-02 -9.481504273e+01 -8.103198953e+01 -1.378305320e+01
5.976562500e+01 -4.745769586e-02 -9.491539172e+01 -8.111775101e+01 -1.379764071e+01
5.996093750e+01 -4.750689854e-02 -9.501379708e+01 -8.120185140e+01 -1.381194568e+01
6.015625000e+01 -4.755515090e-02 -9.511030180e+01 -8.128432744e+01 -1.382597436e+01
6.035156250e+01 -4.760246864e-02 -9.520493727e+01 -8.136520596e+01 -1.383973131e+01
6.054687500e+01 -4.764887249e-02 -9.529774498e+01 -8.144452243e+01 -1.385322256e+01
6.074218750e+01 -4.769437750e-02 -9.538875499e+01 -8.152230251e+01 -1.386645248e+01
6.093750000e+01 -4.773900367e-02 -9.547800734e+01 -8.159858044e+01 -1.387942690e+01
6.113281250e+01 -4.778276539e-02 -9.556553077e+01 -8.167338079e+01 -1.389214999e+01
6.132812500e+01 -4.782568197e-02 -9.565136395e+01 -8.174673658e+01 -1.390462737e+01
6.152343750e+01 -4.786776719e-02 -9.573553438e+01 -8.181867134e+01 -1.391686304e+01
6.171875000e+01 -4.790903968e-02 -9.581807937e+01 -8.188921695e+01 -1.392886242e+01
6.191406250e+01 -4.794951262e-02 -9.589902525e+01 -8.195839590e+01 -1.394062934e+01
6.210937500e+01 -4.798920401e-02 -9.597840802e+01 -8.202623898e+01 -1.395216904e+01
6.230468750e+01 -4.802812644e-02 -9.605625288e+01 -8.209276770e+01 -1.396348517e+01
6.250000000e+01 -4.806629729e-02 -9.613259458e+01 -8.215801178e+01 -1.397458280e+01
6.269531250e+01 -4.810372861e-02 -9.620745721e+01 -8.222199180e+01 -1.398546541e+01
6.289062500e+01 -4.814043717e-02 -9.628087435e+01 -8.228473645e+01 -1.399613790e+01
6.308593750e+01 -4.817643450e-02 -9.635286900e+01 -8.234626540e+01 -1.400660361e+01
6.328125000e+01 -4.821173680e-02 -9.642347360e+01 -8.240660636e+01 -1.401686724e+01
6.347656250e+01 -4.824635508e-02 -9.649271016e+01 -8.246577815e+01 -1.402693200e+01
6.367187500e+01 -4.828030498e-02 -9.656060997e+01 -8.252380752e+01 -1.403680245e+01
6.386718750e+01 -4.831359704e-02 -9.662719408e+01 -8.258071244e+01 -1.404648163e+01
6.406250000e+01 -4.834624636e-02 -9.669249272e+01 -8.263651877e+01 -1.405597395e+01
6.425781250e+01 -4.837826300e-02 -9.675652600e+01 -8.269124367e+01 -1.406528233e+01
6.445312500e+01 -4.840966156e-02 -9.681932313e+01 -8.274491212e+01 -1.407441101e+01
6.464843750e+01 -4.844045165e-02 -9.688090329e+01 -8.279754051e+01 -1.408336278e+01
6.484375000e+01 -4.847064737e-02 -9.694129473e+01 -8.284915298e+01 -1.409214175e+01
6.503906250e+01 -4.850025788e-02 -9.700051577e+01 -8.289976519e+01 -1.410075058e+01
6.523437500e+01 -4.852929684e-02 -9.705859368e+01 -8.294940044e+01 -1.410919324e+01
6.542968750e+01 -4.855777298e-02 -9.711554596e+01 -8.299807369e+01 -1.411747227e+01
6.562500000e+01 -4.858569949e-02 -9.717139898e+01 -8.304580748e+01 -1.412559150e+01
6.582031250e+01 -4.861308471e-02 -9.722616942e+01 -8.309261606e+01 -1.413355336e+01
6.601562500e+01 -4.863994139e-02 -9.727988277e+01 -8.313852122e+01 -1.414136155e+01
6.621093750e+01 -4.866627748e-02 -9.733255496e+01 -8.318353657e+01 -1.414901839e+01
6.640625000e+01 -4.869210531e-02 -9.738421061e+01 -8.322768316e+01 -1.415652746e+01
6.660156250e+01 -4.871743247e-02 -9.743486493e+01 -8.327097397e+01 -1.416389096e+01
6.679687500e+01 -4.874227086e-02 -9.748454172e+01 -8.331342935e+01 -1.417111237e+01
6.699218750e+01 -4.876662774e-02 -9.753325547e+01 -8.335506169e+01 -1.417819378e+01
6.718750000e+01 -4.879051460e-02 -9.758102920e+01 -8.339589067e+01 -1.418513854e+01
6.738281250e+01 -4.881393836e-02 -9.762787673e+01 -8.343592807e+01 -1.419194866e+01
6.757812500e+01 -4.883691015e-02 -9.767382031e+01 -8.347519293e+01 -1.419862738e+01
6.777343750e+01 -4.885943655e-02 -9.771887310e+01 -8.351369650e+01 -1.420517660e+01
6.796875000e+01 -4.888152832e-02 -9.776305664e+01 -8.355145718e+01 -1.421159947e+01
6.816406250e+01 -4.890319173e-02 -9.780638346e+01 -8.358848567e+01 -1.421789779e+01
6.835937500e+01 -4.892443719e-02 -9.784887439e+01 -8.362479978e+01 -1.422407460e+01
6.855468750e+01 -4.894527067e-02 -9.789054135e+01 -8.366040971e+01 -1.423013164e+01
6.875000000e+01 -4.896570225e-02 -9.793140450e+01 -8.369533268e+01 -1.423607182e+01
